name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2866691,4257380,10306022,5,9,0,10306022,7125622,5,0,true,true,0,147312,true,true,0,0,0,4,0,0,4,1
Aleks,449627572,2573936,3728633,9913469,10,11,1,9913469,6302569,5,1,true,true,530409,0,true,true,0,0,0,3,4,0,3,1
BigRed,954383636,2822881,3774049,10042730,2,10,0,10042730,6596930,5,0,true,true,45142,13516,true,true,0,0,0,1,3,4,1,1
Good Swimma,133824362,2536991,3099513,7000404,4,4,0,7000404,5636504,3,0,true,true,44400,51603,false,false,0,0,0,,,,,
Shorinjin,587196387,2921950,3873773,9314623,5,8,0,9314623,6795723,5,0,true,true,0,123726,true,true,0,0,0,0,0,0,0,0
LeGioNoFZioN,969551535,3012689,4432213,6199361,2,9,0,6199361,3365461,3,0,true,false,71542,30211,false,false,4079441,0,0,,,,,
Will Treaty,697666146,2736529,3984473,9557863,0,9,0,9557863,6723963,5,1,true,true,0,0,true,true,0,0,0,0,0,0,0,0
Robbo,141299866,2044124,2915105,7790121,0,8,0,7790121,4962671,5,0,true,true,0,0,true,true,0,0,0,1,4,0,2,1
GetSchmidtOn,323388919,2468542,3287424,7485606,4,6,0,7485606,5757106,2,0,true,true,0,109728,false,false,0,0,0,2,4,,,
Lapskaus,283611597,2482156,3693653,9912527,0,11,0,9912527,6207127,5,0,true,true,0,0,true,true,0,0,0,3,3,0,4,1
Amothos,854737959,2815972,4105361,10280233,1,11,0,10280233,6921333,4,0,true,true,0,28950,false,false,0,0,0,,,,,
MINI yosifkit,599257459,2983431,4083243,12582291,15,17,0,12582291,7091891,5,0,true,true,117140,249843,true,true,0,0,0,4,4,4,4,1
Darthjohn,365927268,2879270,4043471,9127017,3,7,0,9127017,6923117,4,0,true,true,0,60740,false,false,0,0,0,,,,,
Mini Belargos,347474759,3049611,3930088,11316068,2,13,0,11316068,6980668,5,1,true,true,46918,13491,true,true,0,0,0,4,4,0,4,1
KID A,228223221,2654188,3757361,8260828,0,12,0,8260828,4240428,5,1,false,true,0,0,true,true,0,2171121,0,3,4,0,4,1
Ralnakor,528132337,2654707,3858629,8243014,24,6,0,8243014,6514514,3,0,true,true,401465,268905,false,false,0,0,0,2,4,,,
FrankWhite,825628193,2757746,3898664,8040296,3,4,0,8040296,6676396,3,1,true,true,0,35882,false,false,0,0,0,,,,,
chello26tt,847851959,2734855,3669169,8171122,0,5,0,8171122,6404222,4,1,true,true,0,0,false,false,0,0,0,,,,,
CCSM Ricks,366384152,2495967,3520795,6365910,2,11,0,6365910,2963910,3,0,true,false,45142,26134,false,false,3052852,0,0,4,4,,3,
RedCloud,843885846,2372806,3425009,4266703,6,4,0,4266703,3119703,5,1,true,false,174918,66359,true,true,2678112,0,0,2,2,0,0,0
ryzingTitan,844171967,2910399,4141044,9571877,0,8,0,9571877,7052977,3,1,true,true,0,0,false,false,0,0,0,,,,,
Humpr Glump,369555639,3194318,4897581,12023199,1,12,0,12023199,8091899,5,1,true,true,0,35100,true,true,0,0,0,2,4,4,1,1
MINI Nicolas Marcheciel,925496831,2420795,3249996,9637087,10,12,1,9637087,5711187,5,1,true,true,349417,80469,true,true,0,0,0,4,4,0,3,1
Veers,189341839,2667683,3595325,11003814,1,14,0,11003814,6265414,5,1,true,true,0,29580,true,true,0,0,0,1,4,4,4,1
GeneralKenobi,537549179,2072494,3135478,9312422,0,13,0,9312422,5207972,5,1,true,true,0,0,true,true,0,0,0,3,3,4,2,1
El paso,658545697,2937241,4137322,5323304,0,5,0,5323304,3644404,4,1,true,false,0,0,false,false,3430159,0,0,,,,,
Steveo,649329236,2118539,3487663,7810102,0,7,0,7810102,5606202,5,0,true,true,0,0,true,true,0,0,0,0,0,0,0,0
Mhan'und Kota,425544887,2459296,3465890,8695012,11,8,1,8695012,5924112,5,0,true,true,120619,182021,true,true,0,0,0,4,0,0,3,1
MasterJ,912225591,2653301,3853883,9851584,1,10,0,9851584,6507184,5,1,true,true,0,21073,true,true,0,0,0,2,4,0,3,1
Ghebbs,336539734,2899602,4149889,12226079,5,16,0,12226079,7050679,5,1,true,true,233311,14073,true,true,0,0,0,3,4,4,4,1
Sipress,617876691,2853878,3987850,10023228,2,10,0,10023228,6841728,3,0,true,true,0,59908,false,false,0,0,0,3,3,,4,
WiseBeyond,141746547,2301142,3889644,3442787,24,7,0,3442787,1101287,2,1,false,false,352870,246512,false,false,2788357,1199855,1101287,3,,,4,
MINI CT 42069,984252223,3393680,5067596,13741076,26,16,0,13741076,8565676,5,1,true,true,332456,451814,true,true,0,0,0,3,4,4,4,1
Lance,599615996,2723925,3649004,11548329,0,16,1,11548329,6372929,5,0,true,true,0,0,true,true,0,0,0,3,4,4,4,1
The Asset,581861662,2935768,4290103,10494271,0,9,1,10494271,7225871,5,1,true,true,0,0,true,true,0,0,0,1,3,0,4,1
MDevGuy,893219819,2195793,3358837,2195793,0,0,0,2195793,2195793,0,0,true,false,0,0,false,false,3358837,0,0,,,,,
JangoBear,996517736,3201640,4773799,9194062,25,3,2,9194062,8102062,2,1,true,true,341166,442231,false,false,0,0,0,,,,3,
Tmacc85,521812115,2218796,3394530,10522918,27,15,1,10522918,5614018,5,0,true,true,540267,253793,true,true,0,0,0,2,4,4,4,1
Paasan313,595451192,2355623,2998410,8188440,2,9,0,8188440,5354540,3,1,true,true,0,47084,false,false,0,0,0,,,,,
Quigman,138974936,2429823,3166405,7937728,0,7,0,7937728,5596228,3,0,true,true,0,0,false,false,0,0,0,3,,,4,
D Fens,722948949,2912703,3974934,9478331,17,8,1,9478331,7004281,5,1,true,true,183686,258863,true,true,0,0,0,2,4,0,2,0
CaptainK,947951149,2741652,3601567,9078158,11,8,0,9078158,6350358,5,0,true,true,565694,26607,true,true,0,0,0,3,3,0,1,1
Tr1stram,548455812,2748163,4120437,10855000,0,11,0,10855000,6868600,5,0,true,true,0,0,true,true,0,0,0,1,1,4,4,1
Ladrano,594819111,1875641,2571791,7539832,19,10,0,7539832,4447432,5,1,true,true,465967,152234,true,true,0,0,0,0,0,0,0,0
Lepocalypse,971381917,2695277,3711550,8401827,0,7,0,8401827,6406827,3,1,true,true,0,0,false,false,0,0,0,3,4,,,
Greatfuljed I,717658145,2921602,3893966,10835968,0,12,0,10835968,6815568,5,1,true,true,0,0,true,true,0,0,0,3,4,0,4,1
TK2618,375869453,2748157,3592119,9174176,0,9,4,9174176,6340276,3,1,true,true,0,0,false,false,0,0,0,,,,,
0The force is with you0,645496195,2316685,3063881,2840585,0,1,0,2840585,2316685,1,0,true,false,0,0,false,false,3063881,0,0,,,,,
Fishfly,182746569,2936276,3986863,3776756,0,8,4,3776756,1466756,2,1,false,false,0,0,false,false,2520107,1469520,1466756,4,4,,,