AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
141299866,"Robbo","career-ender#2172",576858822589808660,3043362,2109831,186,14,15,41,108,3,0,0,13,4,11,4,5,2,1,204,226,80,28,4,0,2.37,2.65,5.02
141746547,"WiseBeyond","WiseBeyond#9518",227758880606650369,3953192,2386035,228,28,21,67,143,3,3,2,7,11,15,6,9,4,0,228,164,61,10,1,2,1.3,3.33,4.64
182746569,"Fishfly","Fishfly#1822",442053587883786240,4102510,3030129,246,19,21,73,159,3,2,3,10,7,27,1,19,4,0,207,371,130,22,3,0,2.69,3.4,6.08
188332254,"Risis","Risis#5527",433401663416565790,4470304,3172643,258,23,34,91,164,4,10,1,16,5,29,8,12,5,0,282,493,194,54,11,3,3.86,3.88,7.74
189341839,"Veers","RooseyBolton#2684",267678182772047873,3734153,2726946,206,12,15,93,138,4,3,3,21,5,29,8,20,4,0,204,322,127,34,3,4,2.95,4.54,7.49
228223221,"KID A","kidu4a#3485",303632078468284427,3851031,2734994,221,24,32,78,132,0,2,0,15,3,33,5,15,5,0,167,226,80,21,0,3,1.77,4.08,5.85
283611597,"Lapskaus","lapskaus#5065",407122104690147330,3771796,2551785,221,15,25,72,115,1,0,0,18,3,29,3,15,4,0,167,222,72,18,4,2,1.69,3.84,5.53
323388919,"GetSchmidtOn","Schmidt HuanYu#9331",574055485196468225,3346535,2549581,239,11,15,64,102,0,7,0,16,0,27,2,11,0,0,167,198,63,8,2,1,1.59,3.37,4.96
336539734,"Ghebbs","ghebbs#7665",358060154589020162,4257661,3088321,244,19,41,82,122,3,1,4,16,1,34,6,15,5,0,182,462,150,75,21,2,3.47,3.93,7.39
347474759,"Mini Belargos","Belargos#2515",433682721697693706,4020745,3138217,238,15,25,83,135,4,0,0,6,17,24,15,15,6,0,239,395,140,42,7,2,3.1,3.94,7.04
365927268,"Darthjohn","darthjohn#4601",417826225332027403,4123945,2967155,247,6,62,66,124,2,1,0,10,5,34,3,10,3,0,99,172,37,7,0,1,0.75,3.68,4.44
366384152,"CCSM Ricks","Ricky#9880",492150854183419924,3565277,2537922,211,20,32,57,113,3,5,2,10,7,13,2,12,4,0,190,359,125,46,5,2,3.15,3.26,6.4
369555639,"Humpr Glump","HumprGlump#3554",373135550728896512,4982749,3310004,263,17,49,128,168,6,0,13,22,5,33,15,27,10,3,142,344,107,29,6,0,1.91,5.32,7.22
375869453,"TK2618","TK-2618#0711",401612085399781388,3642046,2784764,228,18,38,63,126,0,1,1,10,3,27,7,10,2,0,218,265,67,14,0,2,1.55,3.52,5.07
396312689,"Nerf herder","nerf herder#5104",191426379386978305,2924868,1930710,160,7,24,59,112,5,0,3,14,10,15,6,9,2,0,358,409,155,40,11,2,4.74,4.08,8.82
425544887,"Mhan'und Kota","Treemonkey-Kota#2470",447131206350405643,3635992,2568074,233,13,22,58,111,2,2,6,12,3,12,2,17,4,0,166,218,69,21,2,1,1.67,3.16,4.82
449627572,"Aleks","Awallon#7967",390174944694239246,3824924,2681001,226,42,30,57,142,2,1,1,12,0,22,5,9,2,0,174,175,57,18,2,1,1.32,3.01,4.33
528132337,"Ralnakor","Ralnakor#0848",316725726961336320,3924318,2786353,236,23,50,56,111,2,2,4,6,12,19,2,10,1,0,143,279,60,13,2,1,1.32,3.19,4.51
537549179,"GeneralKenobi","GeneralKenobi#0056",447084480075661312,3199375,2160051,188,15,18,65,118,3,8,3,15,0,18,3,11,4,0,179,292,111,38,8,2,3.16,3.81,6.97
548455812,"Tr1stram","Tr1stram the Last Targaryen#2338",353315483367505925,4230176,2893037,225,15,24,92,169,5,2,1,14,7,27,4,28,8,0,264,395,141,47,4,4,2.95,4.33,7.27
563984912,"mannabirds","chlabowner2#0933",432976148612513792,4211364,2917963,242,26,39,75,144,0,0,0,8,10,31,5,21,0,0,115,287,86,15,1,1,1.72,3.76,5.48
581861662,"The Asset","The Asset#8823",418971126962716683,4337011,2961520,244,13,42,92,141,1,1,6,14,11,30,3,20,6,0,257,302,79,21,1,2,1.57,4.36,5.93
587196387,"Shorinjin","Shorinjin#2262",330027060812578817,4012115,3061426,257,12,28,77,148,4,16,5,17,6,17,2,11,2,0,185,354,123,21,1,1,2.57,3.4,5.97
594819111,"Ladrano","Ladrano#8241",748310228545568769,2668381,1894664,160,16,11,44,86,4,0,0,8,3,11,4,7,3,0,190,214,78,25,5,0,2.64,3.01,5.65
595451192,"Paasan313","Paasan313#0393",421683587373596702,3087336,2456923,253,10,23,47,87,0,0,0,8,1,24,0,12,2,0,170,386,157,49,12,2,4.62,3.01,7.63
599257459,"MINI yosifkit","yosifkit#1862",97195512494555136,4195863,3075650,250,11,32,76,155,4,0,0,14,7,31,4,15,5,0,233,435,138,38,9,2,2.94,3.63,6.57
599615996,"Lance","Lance#5471",816047099568324649,3725580,2885192,228,17,23,71,143,3,0,2,13,3,25,0,20,5,0,204,321,109,38,6,3,2.64,3.6,6.24
617876691,"Sipress","Sipress [ TOP COPP]#2138",332939564027084811,4032990,2951680,238,22,27,79,138,4,2,4,18,5,25,4,18,3,0,189,394,135,49,14,3,3.13,3.75,6.88
645496195,"0The force is with you0","the force is with you#8290",447088019409731586,3127774,2365373,199,15,22,65,93,0,2,2,20,7,13,3,15,2,0,137,167,53,16,4,2,1.53,3.86,5.39
649329236,"Steveo","steveo7803#6367",353520570878394379,3524600,2152269,203,20,28,64,112,2,0,1,3,0,35,13,6,2,0,257,176,44,11,1,0,1.08,3.89,4.97
658545697,"El paso","el paso#2375",568918045079371797,4213054,3074112,232,14,35,87,141,0,3,5,16,8,38,1,11,3,0,134,223,72,26,2,1,1.52,3.95,5.47
697666146,"Will Treaty","Will treaty#6784",309183252860502017,4042459,2850678,231,7,39,77,144,2,3,1,17,11,24,2,15,3,0,218,387,125,27,5,3,2.68,3.86,6.54
717658145,"Greatfuljed I","Greatfuljedi(Direwolves)Comms#7737",401810636881002500,4050735,3037358,230,19,34,99,148,3,6,5,18,6,24,6,17,6,0,176,516,160,33,2,2,3.35,4.47,7.82
722948949,"D Fens","D-Fens#7798",394190300136079360,4101916,3001613,235,17,27,75,139,3,1,6,15,2,26,4,18,3,0,233,334,100,21,5,1,2.13,3.54,5.67
783828985,"Zytro","Zytro#4284",281144025292210176,4315177,2962664,236,35,41,77,148,3,2,2,16,4,27,6,18,2,0,157,483,178,53,10,2,3.68,3.74,7.42
844171967,"ryzingTitan","ryzingTitan#5254",353369222639910914,4197334,3033097,239,9,49,73,156,2,2,1,12,9,26,6,13,0,0,163,199,50,5,0,0,0.98,3.62,4.59
854737959,"Amothos","Amothos#5223",485319866866335754,4200064,2898177,253,33,37,68,137,1,1,3,7,12,23,7,14,1,0,197,299,107,27,2,1,2.2,3.4,5.59
893219819,"MDevGuy","MDevGuy#1833",259484231770701824,3503998,2239108,223,4,24,65,120,0,0,3,19,0,25,4,12,2,0,148,305,111,36,6,2,2.84,3.77,6.62
912225591,"MasterJ","MasterJ#4624",426636924397158421,3942928,2795386,236,24,26,70,155,4,2,0,15,6,25,5,11,2,0,204,223,76,19,7,3,1.74,3.42,5.16
947951149,"CaptainK","CaptainK#2589",721007876046585886,3689167,2848294,216,11,43,68,138,3,0,4,16,22,17,3,6,0,0,236,287,85,20,1,1,1.97,3.62,5.59
954383636,"BigRed","Big Red#1775",471375736901599242,3868742,2951339,245,9,27,88,133,1,19,0,12,2,29,3,20,3,0,184,341,108,23,1,2,2.37,4.13,6.5
969551535,"LeGioNoFZioN","null",0,4489290,3095061,251,39,47,89,141,2,0,4,1,16,38,11,13,6,0,207,278,89,15,2,2,1.68,4.22,5.9
996517736,"JangoBear","Cauios#3408",158673302431203328,4807398,3294831,260,17,27,111,174,3,0,6,22,3,40,4,25,11,0,233,754,229,82,32,6,4.55,4.52,9.08
825628193,"FrankWhite","Warmanez#6713",318925755973238806,3986984,2887942,253,20,23,72,100,1,2,1,3,4,27,7,14,12,1,75,131,21,1,0,1,0.43,3.66,4.09
485698314,"DirectorRik","Director Rik#9599",408302353507287050,2660767,2022797,154,22,11,31,57,3,0,2,5,3,11,3,4,3,0,105,185,60,22,3,1,2.04,2.24,4.27
984252223,"MINI CT 42069","karstenchu#5396",342330502318915584,5250469,3683797,264,8,7,173,109,11,1,0,18,4,47,18,45,34,6,702,653,280,82,13,6,4.73,6.42,11.14
521812115,"Tmacc85","Tmacc85#5033",621759338104487947,3613727,2427290,201,10,6,91,82,4,2,0,19,2,32,4,22,10,0,171,235,82,19,1,3,1.94,4.75,6.69
925496831,"MINI Nicolas Marcheciel","winnynico#0674",538901830420135976,3416068,2590232,214,3,17,82,77,4,0,0,14,1,42,2,10,9,2,113,170,58,20,3,2,1.53,4.48,6.01
133824362,"Good Swimma","goodswimma#9598",728449551224143933,3232453,2629032,214,10,32,49,114,4,0,5,9,4,17,3,9,0,0,130,222,69,13,4,1,1.86,2.97,4.83
847851959,"chello26tt","chello26tt#1294",453926637420150817,3727930,2805466,221,13,43,57,106,2,1,3,11,5,16,5,10,4,0,108,166,47,10,1,1,1.08,3.25,4.33
